,Unnamed: 0,layer,score,score_error,architecture,task,kind,source
0,0,c2,0.0784413164314099,0.0055036996495652,AtlasNet,Eig,a_-0.2,pcs_25
1,1,c2,0.0747546525775451,0.0053391173300144,AtlasNet,Eig,a_-0.3,pcs_25
2,2,c2,0.073818626007347,0.0049039515472014,AtlasNet,Eig,a_-0.4,pcs_25
3,3,c2,0.0716478863896009,0.0051526003844709,AtlasNet,Eig,a_-0.5,pcs_25
4,4,c2,0.0664382636514468,0.0048083784561143,AtlasNet,Eig,a_-0.6,pcs_25
5,5,c2,0.0624540109716209,0.0044984259668282,AtlasNet,Eig,a_-0.7,pcs_25
6,6,c2,0.0584463646600308,0.0046364210649791,AtlasNet,Eig,a_-0.8,pcs_25
7,7,c2,0.0523478853696644,0.0040931807291845,AtlasNet,Eig,a_-0.9,pcs_25
8,8,c2,0.0474998311525615,0.0041185339753058,AtlasNet,Eig,a_-1.0,pcs_25
9,9,c2,0.0381595557261978,0.0043602874583766,AtlasNet,Eig,a_-1.2,pcs_25
10,10,c2,0.0339941143553021,0.0044789256064374,AtlasNet,Eig,a_-1.4,pcs_25
11,11,c2,0.033059667360432,0.0049069336956078,AtlasNet,Eig,a_-1.6,pcs_25
12,12,c2,0.032265924150315,0.0046050647522153,AtlasNet,Eig,a_-1.8,pcs_25
13,13,c2,0.0318123441736134,0.0044264038477759,AtlasNet,Eig,a_-2,pcs_25
14,14,c2,0.0311575970117901,0.0048598266674893,AtlasNet,Eig,a_-2.2,pcs_25
15,15,c2,0.0315266744613732,0.0053083261762452,AtlasNet,Eig,a_-2.4,pcs_25
16,16,c2,0.0319747894225935,0.004846798521387,AtlasNet,Eig,a_-2.6,pcs_25
17,17,c2,0.0317490143727019,0.0051392162041421,AtlasNet,Eig,a_-2.8,pcs_25
18,18,c2,0.0311407926605444,0.0052455387405026,AtlasNet,Eig,a_-3,pcs_25
0,0,c2,0.1072733630163608,0.0050779178415807,AtlasNet,Eig,a_-0.2,pcs_50
1,1,c2,0.1027570791851934,0.0050269921694531,AtlasNet,Eig,a_-0.3,pcs_50
2,2,c2,0.1016169669539108,0.0053616174075531,AtlasNet,Eig,a_-0.4,pcs_50
3,3,c2,0.0971560383296138,0.005205851035299,AtlasNet,Eig,a_-0.5,pcs_50
4,4,c2,0.0919079018174071,0.0050486648018898,AtlasNet,Eig,a_-0.6,pcs_50
5,5,c2,0.0856953648277149,0.0050955142604279,AtlasNet,Eig,a_-0.7,pcs_50
6,6,c2,0.0807919184643111,0.0052269607699992,AtlasNet,Eig,a_-0.8,pcs_50
7,7,c2,0.0741345910148522,0.005543512703597,AtlasNet,Eig,a_-0.9,pcs_50
8,8,c2,0.0688132153670875,0.005543399591875,AtlasNet,Eig,a_-1.0,pcs_50
9,9,c2,0.0545955975446495,0.0055119232446806,AtlasNet,Eig,a_-1.2,pcs_50
10,10,c2,0.045395908531927,0.0058270440627015,AtlasNet,Eig,a_-1.4,pcs_50
11,11,c2,0.0406974114353719,0.0059159606629109,AtlasNet,Eig,a_-1.6,pcs_50
12,12,c2,0.0390986149384961,0.0059975269899544,AtlasNet,Eig,a_-1.8,pcs_50
13,13,c2,0.0383592987486386,0.0060633854553112,AtlasNet,Eig,a_-2,pcs_50
14,14,c2,0.0387289317238121,0.0060675901787931,AtlasNet,Eig,a_-2.2,pcs_50
15,15,c2,0.0387613314157693,0.0058999146032803,AtlasNet,Eig,a_-2.4,pcs_50
16,16,c2,0.0388356135693756,0.0058882424178235,AtlasNet,Eig,a_-2.6,pcs_50
17,17,c2,0.0385124089325111,0.0058611592574377,AtlasNet,Eig,a_-2.8,pcs_50
18,18,c2,0.0385255695244066,0.0059032811124905,AtlasNet,Eig,a_-3,pcs_50
0,0,c2,0.1225469557888252,0.0050207420243213,AtlasNet,Eig,a_-0.2,pcs_100
1,1,c2,0.1188281953501786,0.0054195947774008,AtlasNet,Eig,a_-0.3,pcs_100
2,2,c2,0.1155526789911139,0.0052538057881572,AtlasNet,Eig,a_-0.4,pcs_100
3,3,c2,0.11186917710924,0.0053389856825545,AtlasNet,Eig,a_-0.5,pcs_100
4,4,c2,0.1059899409587023,0.005469910998675,AtlasNet,Eig,a_-0.6,pcs_100
5,5,c2,0.1002859270603123,0.0059806288735555,AtlasNet,Eig,a_-0.7,pcs_100
6,6,c2,0.0946794286661097,0.0060096104287964,AtlasNet,Eig,a_-0.8,pcs_100
7,7,c2,0.0857590760487609,0.005910823041272,AtlasNet,Eig,a_-0.9,pcs_100
8,8,c2,0.0789329975657977,0.0055945262706188,AtlasNet,Eig,a_-1.0,pcs_100
9,9,c2,0.0622444619338148,0.0052597812801327,AtlasNet,Eig,a_-1.2,pcs_100
10,10,c2,0.0510471029689715,0.0061050393558217,AtlasNet,Eig,a_-1.4,pcs_100
11,11,c2,0.0457478111524431,0.0059528820548142,AtlasNet,Eig,a_-1.6,pcs_100
12,12,c2,0.042804090312207,0.005789651578912,AtlasNet,Eig,a_-1.8,pcs_100
13,13,c2,0.0420520735091443,0.0060365539488742,AtlasNet,Eig,a_-2,pcs_100
14,14,c2,0.0420301616376083,0.0060986089421691,AtlasNet,Eig,a_-2.2,pcs_100
15,15,c2,0.042026129667496,0.0062275481602028,AtlasNet,Eig,a_-2.4,pcs_100
16,16,c2,0.0420687054375272,0.0061535993173354,AtlasNet,Eig,a_-2.6,pcs_100
17,17,c2,0.0420076214944411,0.0060991169906683,AtlasNet,Eig,a_-2.8,pcs_100
18,18,c2,0.04205623483392,0.0061286943879927,AtlasNet,Eig,a_-3,pcs_100
0,0,c2,0.1716256091635778,0.0044559398529198,AtlasNet,Eig,a_-0.2,pcs_500
1,1,c2,0.1676017870714402,0.0050909350662092,AtlasNet,Eig,a_-0.3,pcs_500
2,2,c2,0.159580142730591,0.0053004599292216,AtlasNet,Eig,a_-0.4,pcs_500
3,3,c2,0.1511229021582567,0.005421662127652,AtlasNet,Eig,a_-0.5,pcs_500
4,4,c2,0.1424533340229976,0.0058323538933152,AtlasNet,Eig,a_-0.6,pcs_500
5,5,c2,0.1334431627678281,0.0057837070543909,AtlasNet,Eig,a_-0.7,pcs_500
6,6,c2,0.1273490195836133,0.0060767827003293,AtlasNet,Eig,a_-0.8,pcs_500
7,7,c2,0.119546399304232,0.0059226787799928,AtlasNet,Eig,a_-0.9,pcs_500
8,8,c2,0.1147223495553419,0.0059009614981336,AtlasNet,Eig,a_-1.0,pcs_500
9,9,c2,0.1027248751120908,0.0064472650855372,AtlasNet,Eig,a_-1.2,pcs_500
10,10,c2,0.089871714722275,0.0062743703410207,AtlasNet,Eig,a_-1.4,pcs_500
11,11,c2,0.0740631565122442,0.0073611814220526,AtlasNet,Eig,a_-1.6,pcs_500
12,12,c2,0.0582630679125074,0.0078571782419394,AtlasNet,Eig,a_-1.8,pcs_500
13,13,c2,0.04876485507276,0.0073877779035892,AtlasNet,Eig,a_-2,pcs_500
14,14,c2,0.0426244833635555,0.0070885269031268,AtlasNet,Eig,a_-2.2,pcs_500
15,15,c2,0.0417320135562441,0.0071163222331575,AtlasNet,Eig,a_-2.4,pcs_500
16,16,c2,0.0415779682642036,0.0070919497177575,AtlasNet,Eig,a_-2.6,pcs_500
17,17,c2,0.0420861297443151,0.0071291133987322,AtlasNet,Eig,a_-2.8,pcs_500
18,18,c2,0.0417719433010277,0.0072599107010093,AtlasNet,Eig,a_-3,pcs_500
0,0,c2,0.1843303572588381,0.004873957054369,AtlasNet,Eig,a_-0.2,pcs_1000
1,1,c2,0.1795599951015183,0.0055394080893608,AtlasNet,Eig,a_-0.3,pcs_1000
2,2,c2,0.1756092925756769,0.0050437183490547,AtlasNet,Eig,a_-0.4,pcs_1000
3,3,c2,0.167750814014191,0.0051004098550558,AtlasNet,Eig,a_-0.5,pcs_1000
4,4,c2,0.1625678265859052,0.00514430735431,AtlasNet,Eig,a_-0.6,pcs_1000
5,5,c2,0.1527313713085221,0.00560455028637,AtlasNet,Eig,a_-0.7,pcs_1000
6,6,c2,0.1446711072226153,0.0062327524892268,AtlasNet,Eig,a_-0.8,pcs_1000
7,7,c2,0.1364742762727297,0.0060346565899715,AtlasNet,Eig,a_-0.9,pcs_1000
8,8,c2,0.1309110565668738,0.0059594875205827,AtlasNet,Eig,a_-1.0,pcs_1000
9,9,c2,0.1143574875288889,0.0067306931879973,AtlasNet,Eig,a_-1.2,pcs_1000
10,10,c2,0.0985499116111629,0.005962147694912,AtlasNet,Eig,a_-1.4,pcs_1000
11,11,c2,0.0835907102661239,0.0073122315849706,AtlasNet,Eig,a_-1.6,pcs_1000
12,12,c2,0.0687177548737203,0.007534660911796,AtlasNet,Eig,a_-1.8,pcs_1000
13,13,c2,0.0560838637623544,0.0070411598566181,AtlasNet,Eig,a_-2,pcs_1000
14,14,c2,0.0452067894384219,0.0077808845746867,AtlasNet,Eig,a_-2.2,pcs_1000
15,15,c2,0.0423284538342398,0.007060272629924,AtlasNet,Eig,a_-2.4,pcs_1000
16,16,c2,0.0420627941058779,0.0069616641587441,AtlasNet,Eig,a_-2.6,pcs_1000
17,17,c2,0.0416531541466874,0.0068293478786298,AtlasNet,Eig,a_-2.8,pcs_1000
18,18,c2,0.0414032138179674,0.0069350682581612,AtlasNet,Eig,a_-3,pcs_1000
